Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
25-09-2020,109.1109695,109.2664572,104.6310832,105.3696347,149981400
28-09-2020,111.7153473,112.0651872,109.5968757,111.763939,137672400
29-09-2020,110.8698959,112.0554636,110.3645758,111.3169193,99382200
30-09-2020,112.5413513,113.9504307,110.4131674,110.5783675,142675200
01-10-2020,113.4937057,114.3974576,112.5608018,114.3197138,116120400
02-10-2020,109.8300934,112.1137724,109.0526772,109.7037652,144712000
05-10-2020,113.2118835,113.3576514,110.3451478,110.6949877,106243800
06-10-2020,109.9661636,112.8426194,109.081844,112.4344679,161498200
07-10-2020,111.831955,112.2886907,110.9087635,111.384939,96849000
08-10-2020,111.7250671,113.1147069,111.3557876,112.968939,83477200
09-10-2020,113.6686172,113.6977693,111.6764739,112.0263138,100506900
12-10-2020,120.8889084,121.6468923,115.9134137,116.6713977,240226800
13-10-2020,117.682045,121.850964,116.2729731,121.7343482,262330500
14-10-2020,117.7695007,119.5575645,116.2438132,117.584861,150712000
15-10-2020,117.3030548,117.7792229,114.8153112,115.3692231,112559200
16-10-2020,115.6607513,118.1193503,115.4566793,117.8569667,115393800
19-10-2020,112.7065506,117.0212297,112.3955827,116.5742138,120639300
20-10-2020,114.1933746,115.6218862,112.3664314,112.9203433,124423700
21-10-2020,113.571434,115.3594978,113.1632826,113.3770744,89946000
22-10-2020,112.4830551,114.7084227,111.3557916,114.1350711,101988000
23-10-2020,111.7930832,113.2604666,111.0545315,113.104979,82572600
26-10-2020,111.8027878,113.2604512,109.6940291,110.7921402,111850700
27-10-2020,113.3090515,113.9698593,111.3071958,112.2303798,92276800
28-10-2020,108.0614548,112.1720692,107.9642787,111.8027971,143937800
29-10-2020,112.0651703,113.6297297,109.0332275,109.198435,146129200
30-10-2020,105.7874985,108.8291536,104.6796748,107.925402,190272600
02-11-2020,105.7000427,107.5561379,104.2909709,106.0304503,122866900
03-11-2020,107.3229141,108.3432742,105.6611785,106.5649302,107624400
04-11-2020,111.7056198,112.3275557,109.1790043,110.9184838,138235500
05-11-2020,115.6704559,116.2438074,113.5714244,114.6209364,126387100
06-11-2020,115.5390701,116.0355255,113.0470269,115.1788901,114457900
09-11-2020,113.2319641,118.7514365,112.9691353,117.3009948,154515300
10-11-2020,112.8912735,114.4682616,111.1001173,112.4824253,138023400
11-11-2020,116.3178329,116.4541157,113.3488074,114.0788967,112295000
12-11-2020,116.0452423,117.330199,115.4222335,116.4443613,103162300
13-11-2020,116.0939255,116.4930371,114.7408273,116.2691472,81581900
16-11-2020,117.1063156,117.7779927,115.0133917,115.7629467,91183000
17-11-2020,116.2204666,117.4664843,115.8018818,116.3762225,74271000
18-11-2020,114.8965683,116.6390487,114.8673659,115.4611724,76322100
19-11-2020,115.4903793,115.8992275,113.7089599,114.4682515,74113000
20-11-2020,114.224884,115.6169211,114.1762159,115.4903749,73604300
23-11-2020,110.8275299,114.4974488,110.7301862,114.0691275,127959300
24-11-2020,112.1124954,112.7744433,109.6009868,110.8859509,113874200
25-11-2020,112.9496765,113.6505634,112.1125069,112.4824235,76499200
27-11-2020,113.4947891,114.3708976,113.1346166,113.4753233,46691300
30-11-2020,115.8895111,117.7585379,113.7089724,113.8647283,169410200
01-12-2020,119.4620514,120.1921405,116.8239969,117.7974491,127728200
02-12-2020,119.8125229,120.094825,117.6806598,118.7806583,89004200
03-12-2020,119.6762466,120.4939431,118.9656231,120.2408434,78967600
04-12-2020,119.0045242,119.5983306,118.2939009,119.345231,78260400
07-12-2020,120.4647141,121.2629446,119.0045357,119.0629405,86712000
08-12-2020,121.0780106,121.662088,119.822256,121.0682814,82225500
09-12-2020,118.5470276,122.6063222,117.7877359,121.2240216,115089200
10-12-2020,119.9682617,120.5815414,116.9602976,117.3010044,81312200
11-12-2020,119.1603165,119.5010233,117.3496943,119.1797822,86939800
14-12-2020,118.5470276,120.0753475,118.3134011,119.3452582,79184500
15-12-2020,124.4850845,124.5045577,120.8346382,121.0390623,157243700
16-12-2020,124.4169388,124.9620697,123.2001234,124.0275638,98208600
17-12-2020,125.283287,126.1399297,124.6408051,125.4779745,94359800
18-12-2020,123.2974701,125.672696,122.771805,125.5364133,192541500
21-12-2020,124.8257828,124.9036607,120.172682,121.7010018,121251600
22-12-2020,128.3789215,130.8417552,126.2081117,128.1160852,168904800
23-12-2020,127.4833221,128.9142834,127.308093,128.651462,88223700
24-12-2020,128.466507,129.9169563,127.6196082,127.8337689,54930100
28-12-2020,133.0612488,133.6939871,129.9656615,130.4329295,124486200
29-12-2020,131.2895355,135.1054676,130.7736069,134.3851222,121047300
30-12-2020,130.1700439,132.3797848,129.8585321,131.9806658,96452100
31-12-2020,129.1674042,131.1629846,128.2231541,130.5205024,99116600
04-01-2021,125.9744568,130.0629532,123.3948069,129.9753461,143301900
05-01-2021,127.5319672,128.242598,125.0204587,125.4682533,97664900
06-01-2021,123.2390442,127.5709108,123.0248835,124.3293133,155088000
07-01-2021,127.4443741,128.1355318,124.4656124,124.9523386,109578200
08-01-2021,128.5443726,129.1089766,126.7726823,128.9142743,105158200
11-01-2021,125.5558701,126.7142806,125.0886171,125.7603016,100384500
12-01-2021,125.380661,126.247033,123.4921611,125.0886223,91951100
13-01-2021,127.4151764,127.9603073,125.0788967,125.3417182,88636800
14-01-2021,125.4877548,127.5222668,125.341728,127.3275793,90221800
15-01-2021,123.7647095,126.762944,123.6284268,125.3611705,111598500
19-01-2021,124.436409,125.2930518,123.570037,124.3877334,90757300
20-01-2021,128.5249176,128.9727122,125.1373075,125.2443878,104319500
21-01-2021,133.2364197,135.9620893,130.0434971,130.2479287,120150900
22-01-2021,135.3780212,136.1373129,131.4355364,132.662081,114459400
25-01-2021,139.1257782,141.2381676,132.9151488,139.2718049,157611700
26-01-2021,139.359436,140.4691711,137.6169481,139.7877574,98390600
27-01-2021,138.2886353,140.4691738,136.6824449,139.6222602,140843800
28-01-2021,133.4506073,138.2205337,133.0709614,135.8161047,142621100
29-01-2021,128.4568024,133.1099043,126.7532604,132.2240589,177523800
01-02-2021,130.5789337,131.7860203,127.4541443,130.1992878,106239800
02-02-2021,131.406311,132.6912601,131.0363945,132.1266561,83305400
03-02-2021,130.3841553,132.1655741,130.0629144,132.1558301,89880900
04-02-2021,133.7425995,133.7523287,131.0169303,132.6815401,84183100
05-02-2021,133.3282623,133.9717045,132.4508521,133.9034687,75693800
08-02-2021,133.4745026,133.5232509,131.5344325,132.6165798,71297200
09-02-2021,132.5970764,134.4201624,132.4411026,133.1917702,76774200
10-02-2021,131.99263,133.5524868,131.0274669,133.0552748,73046600
11-02-2021,131.7391815,132.9675589,130.4133075,132.4898492,64280000
12-02-2021,131.9731598,132.1291485,130.3353231,130.9787653,60145100
16-02-2021,129.8478394,132.5970688,129.4578677,132.090128,80576300
17-02-2021,127.556839,128.9022155,126.221221,127.9565545,97918500
18-02-2021,126.4551697,126.7378861,124.212881,125.9579577,96856700
19-02-2021,126.6111603,127.4300934,125.5680176,126.971886,87668800
22-02-2021,122.8382721,126.464927,122.4483078,124.7978297,103916400
23-02-2021,122.7017899,123.5304593,115.4192337,120.6544867,158273000
24-02-2021,122.2045975,122.4093271,119.1628922,121.8048894,111039900
25-02-2021,117.9539642,123.2867053,117.5152592,121.5513725,148199500
26-02-2021,118.2172089,121.7171209,118.1587094,119.5138293,164560400
01-03-2021,124.5833511,124.7198375,119.7088167,120.6447264,116307900
02-03-2021,121.9803391,125.490002,121.8730987,125.1877833,102260900
03-03-2021,118.997139,122.5555508,118.7826583,121.6781331,112966300
04-03-2021,117.1155701,120.4984984,115.6434659,118.694922,178155000
05-03-2021,118.3732147,118.8801706,114.619824,117.9442607,153766600
08-03-2021,113.4401703,117.9637378,113.2939328,117.8954946,154376600
09-03-2021,118.0514755,118.9971364,115.8091941,116.0431696,129525800
10-03-2021,116.9693375,119.1043786,116.4526305,118.6364274,111943300
11-03-2021,118.8996353,120.1182688,118.2172035,119.4650831,103026500
12-03-2021,117.9929733,118.1294597,116.1699023,117.3787847,88105100
15-03-2021,120.8787231,120.8884743,117.3983053,118.3634686,92403800
16-03-2021,122.4190598,124.0276576,121.5903904,122.545795,115227900
17-03-2021,121.6293869,122.701783,119.2701066,120.9372039,111932600
18-03-2021,117.5055313,120.0890362,117.3008017,119.7965611,121229700
19-03-2021,116.9790878,118.3829563,116.676869,116.8913498,185549500
22-03-2021,120.2937775,120.7617361,117.2423211,117.3105643,111912300
23-03-2021,119.4650955,121.1224343,119.0751313,120.2352729,95467100
24-03-2021,117.0765762,119.8160699,117.0570814,119.7380756,88530500
25-03-2021,117.5640335,118.6071912,116.0139349,116.5403856,98844700
26-03-2021,118.1684723,118.4317013,115.9359344,117.3300517,94071200
29-03-2021,118.343956,119.5040977,117.7005213,118.5974339,80819200
30-03-2021,116.8913422,117.3787956,115.8774381,117.0960717,85671900
31-03-2021,119.0848923,120.4205101,118.1099853,118.5974388,118323800
01-04-2021,119.913559,121.0639495,119.4163543,120.5570011,75089100
05-04-2021,122.7407837,122.9942616,119.9817953,120.7617238,88651200
06-04-2021,123.0429993,123.9399118,122.4970538,123.3257232,80171300
07-04-2021,124.6906052,124.7101,121.9998598,122.672548,83466700
08-04-2021,127.0888748,127.1181208,125.2950495,125.7142524,88844600
09-04-2021,129.6625977,129.7015874,126.221178,126.542899,106686700
12-04-2021,127.9468231,129.5164243,127.3521291,129.1947031,91420000
13-04-2021,131.0567627,131.2810021,128.6194948,129.116707,91266500
14-04-2021,128.7169647,131.6124396,128.3562539,131.5539475,87222800
15-04-2021,131.125,131.6124535,130.2865793,130.4620703,89347100
16-04-2021,130.7935181,131.2907152,129.9355952,130.9300044,84922400
19-04-2021,131.4564362,132.0706322,129.9940759,130.1598083,94264200
20-04-2021,129.7698517,132.1291245,128.5024698,131.6319273,94812300
21-04-2021,130.1500702,130.3937969,128.005278,129.0386769,68847100
22-04-2021,128.6292267,130.7837627,128.1125272,129.7016154,84566500
23-04-2021,130.9495239,131.7294377,128.8437211,128.8437211,78657500
26-04-2021,131.339447,131.6709118,130.2085515,131.4466874,66905100
27-04-2021,131.017746,132.0121552,130.7447732,131.6221835,66015800
28-04-2021,130.2280731,131.6319415,129.7406196,130.939751,107760100
29-04-2021,130.1305695,133.6304966,129.1264165,133.0455465,151101000
30-04-2021,128.1612701,130.2085657,127.781057,128.4732326,109839500
03-05-2021,129.2141724,130.7057938,128.5219967,128.7267188,75135100
04-05-2021,124.6418533,128.1905215,123.5207088,127.8980464,137564700
05-05-2021,124.8855896,127.1766121,124.7588469,125.9579783,84000900
06-05-2021,126.4844437,126.4941874,123.9399283,124.6808597,78128300
07-05-2021,127.1582642,128.1836433,126.4453625,127.7832638,78973300
10-05-2021,123.8770065,126.5039558,123.8379431,126.3770127,88071200
11-05-2021,122.9590378,123.3105936,119.8926234,120.6055176,126142800
12-05-2021,119.8926239,121.7187992,119.3848145,120.5078633,112172300
13-05-2021,122.041069,123.1934136,121.3477103,121.6602101,105861300
14-05-2021,124.4629364,124.8926265,122.9004373,123.2910639,81918000
17-05-2021,123.3105927,123.9551277,122.236375,123.8477052,74244600
18-05-2021,121.9238739,124.0137179,121.8555148,123.5937955,63342900
19-05-2021,121.7676239,121.9922292,119.9805121,120.2734839,92612000
20-05-2021,124.3262177,124.726612,122.1680146,122.2949725,76857100
21-05-2021,122.4902878,125.0000542,122.2754427,124.8242726,79295400
24-05-2021,124.1211472,124.9414639,122.988338,123.0566971,63092900
25-05-2021,123.9258194,125.3125442,123.3594112,124.8242554,72009500
26-05-2021,123.8770065,124.4043514,123.4570842,123.984429,56575900
27-05-2021,122.343811,124.6485003,122.1485014,123.4766277,94625600
28-05-2021,121.6895065,122.8516188,121.6309151,122.627006,71311100
01-06-2021,121.3672333,122.4121553,121.0352055,122.1484866,67637100
02-06-2021,122.128952,122.3047336,121.1426289,121.3672342,59278900
03-06-2021,120.6445618,121.9238566,120.2441675,121.7578427,76229200
04-06-2021,122.9394989,123.203175,120.9473098,121.1621548,75169300
07-06-2021,122.9492722,123.3594268,121.9043501,123.2129409,71057600
08-06-2021,123.769577,125.4492738,123.2519999,123.6328588,74403800
09-06-2021,124.150444,124.7559157,123.55474,124.2285709,56877900
10-06-2021,123.1543274,125.1855797,122.9883135,124.0429956,71186400
11-06-2021,124.3652954,124.45319,123.1445917,123.5645141,53522400
14-06-2021,127.4219208,127.4805122,124.0918452,124.8242674,96906500
15-06-2021,126.601593,127.5390998,126.3574523,126.8945648,62746300
16-06-2021,127.0996628,127.8223247,125.4492839,127.3145078,91815000
17-06-2021,128.7012329,129.4434303,126.6113887,126.7578821,96721700
18-06-2021,127.4023972,128.4277762,127.1875521,127.6465379,108953300
21-06-2021,129.1992798,129.3067023,126.1817039,127.2461539,79663300
22-06-2021,130.8398743,130.9375365,128.5351856,129.0332421,74783600
23-06-2021,130.566452,131.1719311,130.1074663,130.6348186,60214200
24-06-2021,130.2832794,131.4844478,129.8145184,131.2988984,68711000
25-06-2021,129.9902496,130.7519673,129.6972779,130.3320525,70783700
28-06-2021,131.6211548,132.0801406,130.2246769,130.2832683,62111300
29-06-2021,133.1347809,133.2910345,131.2011911,131.6406413,64556100
30-06-2021,133.7500305,134.1894807,132.6855659,132.9785377,63261400
01-07-2021,134.0527954,134.1113868,132.5781759,133.3985,52485800
02-07-2021,136.6797485,136.7188045,134.521538,134.6680165,78852600
06-07-2021,138.691452,139.7949578,136.7871576,136.7871576,108181800
07-07-2021,141.1817169,141.4942093,139.3164781,140.1758433,104911600
08-07-2021,139.8828888,140.6836627,137.3731147,138.2617906,105575500
09-07-2021,141.7090454,142.2363828,139.3066941,139.4043563,99890800
12-07-2021,141.113327,142.8906785,140.6250456,142.783256,76299700
13-07-2021,142.2266083,144.0039598,140.2637224,140.6543415,100827100
14-07-2021,145.6543884,146.0645581,144.2188394,144.629009,127050800
15-07-2021,145.0000458,146.4844255,143.642624,145.7422431,106820300
16-07-2021,142.9590302,146.2500421,142.4609885,144.9805223,93251400
19-07-2021,139.1114044,140.6934467,138.3496864,140.3809394,121434600
20-07-2021,142.7246552,143.6524018,139.6094322,140.0977136,96350000
21-07-2021,141.9922638,142.7051656,141.240321,142.1192218,74993500
22-07-2021,143.3594666,144.7266489,142.3926637,142.5196217,77338200
23-07-2021,145.0781708,145.2344244,143.4766083,144.0918477,71447400
26-07-2021,145.4981232,146.3184325,144.2383486,144.7949966,72434100
27-07-2021,143.3301239,145.7129395,142.1387161,145.6250375,104818600
28-07-2021,141.5820923,143.5254579,139.1992763,141.4160784,118931200
